ComEd Basic Electric Service Residential Purchased Energy Charge (PEC),ComEd Basic Electric Service Demand Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Non-Residential Electric Space Heating Purchased Energy Charge (PEC),Ameren Illinois Residential Residential BGS 1,Ameren Illinois Small Commercial Small Commercial BGS 2 - Primary,Ameren Illinois Small Commercial Small Commercial BGS 2 - Secondary,Ameren Illinois Small Commercial Small Commercial BGS 2 - High Voltage,DATE
0.1469253472833399,0.1649085504932138,0.1637578731020994,0.15253574478198917,0.15090343389268795,0.2150243723660909,0.22003916850120267,0.21229762265039262,2048-08-01 01:00:00
0.1469253472833399,0.1649085504932138,0.1637578731020994,0.15253574478198917,0.15090343389268795,0.2150243723660909,0.22003916850120267,0.21229762265039262,2048-09-01 01:00:00
0.16341791509045403,0.16371463479797263,0.1628683998876757,0.15862896512227995,0.15836343486885307,0.21581071420291803,0.2204270726775177,0.2132956413927455,2048-10-01 01:00:00
0.16341791509045403,0.16371463479797263,0.1628683998876757,0.15862896512227995,0.15836343486885307,0.21581071420291803,0.2204270726775177,0.2132956413927455,2048-11-01 01:00:00
0.16341791509045403,0.16371463479797263,0.1628683998876757,0.15862896512227995,0.15836343486885307,0.21581071420291803,0.2204270726775177,0.2132956413927455,2048-12-01 01:00:00
0.16341791509045403,0.16371463479797263,0.1628683998876757,0.15862896512227995,0.15836343486885307,0.21581071420291803,0.2204270726775177,0.2132956413927455,2049-01-01 01:00:00
0.16341791509045403,0.16371463479797263,0.1628683998876757,0.15862896512227995,0.15836343486885307,0.21581071420291803,0.2204270726775177,0.2132956413927455,2049-02-01 01:00:00
0.16341791509045403,0.16371463479797263,0.1628683998876757,0.15862896512227995,0.15836343486885307,0.21581071420291803,0.2204270726775177,0.2132956413927455,2049-03-01 01:00:00
0.16341791509045403,0.16371463479797263,0.1628683998876757,0.15862896512227995,0.15836343486885307,0.21581071420291803,0.2204270726775177,0.2132956413927455,2049-04-01 01:00:00
0.16341791509045403,0.16371463479797263,0.1628683998876757,0.15862896512227995,0.15836343486885307,0.21581071420291803,0.2204270726775177,0.2132956413927455,2049-05-01 01:00:00
0.15059848096542333,0.16903126425554413,0.1678518199296519,0.15634913840153886,0.1546760197400051,0.22039998167524313,0.2255401477137327,0.2176050632166524,2049-06-01 01:00:00
0.15059848096542333,0.16903126425554413,0.1678518199296519,0.15634913840153886,0.1546760197400051,0.22039998167524313,0.2255401477137327,0.2176050632166524,2049-07-01 01:00:00
0.15059848096542333,0.16903126425554413,0.1678518199296519,0.15634913840153886,0.1546760197400051,0.22039998167524313,0.2255401477137327,0.2176050632166524,2049-08-01 01:00:00
0.15059848096542333,0.16903126425554413,0.1678518199296519,0.15634913840153886,0.1546760197400051,0.22039998167524313,0.2255401477137327,0.2176050632166524,2049-09-01 01:00:00
0.16750336296771537,0.16780750066792194,0.1669401098848676,0.16259468925033693,0.16232252074057435,0.22120598205799102,0.22593774949445566,0.21862803242756412,2049-10-01 01:00:00
0.16750336296771537,0.16780750066792194,0.1669401098848676,0.16259468925033693,0.16232252074057435,0.22120598205799102,0.22593774949445566,0.21862803242756412,2049-11-01 01:00:00
0.16750336296771537,0.16780750066792194,0.1669401098848676,0.16259468925033693,0.16232252074057435,0.22120598205799102,0.22593774949445566,0.21862803242756412,2049-12-01 01:00:00
0.16750336296771537,0.16780750066792194,0.1669401098848676,0.16259468925033693,0.16232252074057435,0.22120598205799102,0.22593774949445566,0.21862803242756412,2050-01-01 01:00:00
0.16750336296771537,0.16780750066792194,0.1669401098848676,0.16259468925033693,0.16232252074057435,0.22120598205799102,0.22593774949445566,0.21862803242756412,2050-02-01 01:00:00
0.16750336296771537,0.16780750066792194,0.1669401098848676,0.16259468925033693,0.16232252074057435,0.22120598205799102,0.22593774949445566,0.21862803242756412,2050-03-01 01:00:00
0.16750336296771537,0.16780750066792194,0.1669401098848676,0.16259468925033693,0.16232252074057435,0.22120598205799102,0.22593774949445566,0.21862803242756412,2050-04-01 01:00:00
0.16750336296771537,0.16780750066792194,0.1669401098848676,0.16259468925033693,0.16232252074057435,0.22120598205799102,0.22593774949445566,0.21862803242756412,2050-05-01 01:00:00
0.15436344298955892,0.17325704586193272,0.17204811542789317,0.16025786686157734,0.15854292023350522,0.22590998121712416,0.23117865140657598,0.2230451897970687,2050-06-01 01:00:00
0.15436344298955892,0.17325704586193272,0.17204811542789317,0.16025786686157734,0.15854292023350522,0.22590998121712416,0.23117865140657598,0.2230451897970687,2050-07-01 01:00:00
0.15436344298955892,0.17325704586193272,0.17204811542789317,0.16025786686157734,0.15854292023350522,0.22590998121712416,0.23117865140657598,0.2230451897970687,2050-08-01 01:00:00
0.15436344298955892,0.17325704586193272,0.17204811542789317,0.16025786686157734,0.15854292023350522,0.22590998121712416,0.23117865140657598,0.2230451897970687,2050-09-01 01:00:00
0.17169094704190824,0.17200268818461995,0.1711136126319893,0.16665955648159536,0.1663805837590887,0.22673613160944078,0.231586193231817,0.22409373323825324,2050-10-01 01:00:00
0.17169094704190824,0.17200268818461995,0.1711136126319893,0.16665955648159536,0.1663805837590887,0.22673613160944078,0.231586193231817,0.22409373323825324,2050-11-01 01:00:00
0.17169094704190824,0.17200268818461995,0.1711136126319893,0.16665955648159536,0.1663805837590887,0.22673613160944078,0.231586193231817,0.22409373323825324,2050-12-01 01:00:00
0.17169094704190824,0.17200268818461995,0.1711136126319893,0.16665955648159536,0.1663805837590887,0.22673613160944078,0.231586193231817,0.22409373323825324,2051-01-01 01:00:00
0.17169094704190824,0.17200268818461995,0.1711136126319893,0.16665955648159536,0.1663805837590887,0.22673613160944078,0.231586193231817,0.22409373323825324,2051-02-01 01:00:00
0.17169094704190824,0.17200268818461995,0.1711136126319893,0.16665955648159536,0.1663805837590887,0.22673613160944078,0.231586193231817,0.22409373323825324,2051-03-01 01:00:00
0.17169094704190824,0.17200268818461995,0.1711136126319893,0.16665955648159536,0.1663805837590887,0.22673613160944078,0.231586193231817,0.22409373323825324,2051-04-01 01:00:00
0.17169094704190824,0.17200268818461995,0.1711136126319893,0.16665955648159536,0.1663805837590887,0.22673613160944078,0.231586193231817,0.22409373323825324,2051-05-01 01:00:00
0.15822252906429787,0.177588472008481,0.1763493183135905,0.16426431353311674,0.16250649323934283,0.23155773074755226,0.23695811769174038,0.22862131954199538,2051-06-01 01:00:00
0.15822252906429787,0.177588472008481,0.1763493183135905,0.16426431353311674,0.16250649323934283,0.23155773074755226,0.23695811769174038,0.22862131954199538,2051-07-01 01:00:00
0.15822252906429787,0.177588472008481,0.1763493183135905,0.16426431353311674,0.16250649323934283,0.23155773074755226,0.23695811769174038,0.22862131954199538,2051-08-01 01:00:00
0.15822252906429787,0.177588472008481,0.1763493183135905,0.16426431353311674,0.16250649323934283,0.23155773074755226,0.23695811769174038,0.22862131954199538,2051-09-01 01:00:00
