ComEd Basic Electric Service Residential PJM Services Charge (PSC),ComEd Basic Electric Service Demand Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Non-Residential Electric Space Heating PJM Services Charge (PSC),Ameren Illinois Residential Residential Rider TS - DS1,Ameren Illinois Small Commercial Small Commercial Rider TS - DS2,DATE
0.018577153007556142,0.01853892841289039,0.01853892841289039,0.01853892841289039,0.023527021175398895,0.023647518082827303,2032-03-01 01:00:00
0.018577153007556142,0.01853892841289039,0.01853892841289039,0.01853892841289039,0.023527021175398895,0.023647518082827303,2032-04-01 01:00:00
0.018577153007556142,0.01853892841289039,0.01853892841289039,0.01853892841289039,0.023527021175398895,0.023647518082827303,2032-05-01 01:00:00
0.019158591390687256,0.019132346744946592,0.019132346744946592,0.019132346744946592,0.030455593352533002,0.03060621448681853,2032-06-01 01:00:00
0.019158591390687256,0.019132346744946592,0.019132346744946592,0.019132346744946592,0.030455593352533002,0.03060621448681853,2032-07-01 01:00:00
0.019158591390687256,0.019132346744946592,0.019132346744946592,0.019132346744946592,0.030455593352533002,0.03060621448681853,2032-08-01 01:00:00
0.019132346744946592,0.019092979776335586,0.019092979776335586,0.019092979776335586,0.030455593352533002,0.03060621448681853,2032-09-01 01:00:00
0.019132346744946592,0.019092979776335586,0.019092979776335586,0.019092979776335586,0.030455593352533002,0.03060621448681853,2032-10-01 01:00:00
0.019132346744946592,0.019092979776335586,0.019092979776335586,0.019092979776335586,0.030455593352533002,0.03060621448681853,2032-11-01 01:00:00
0.019132346744946592,0.019092979776335586,0.019092979776335586,0.019092979776335586,0.030455593352533002,0.03060621448681853,2032-12-01 01:00:00
0.01910478113444266,0.01906547088519484,0.01906547088519484,0.01906547088519484,0.024511052623093225,0.02463658938428703,2033-01-01 01:00:00
0.01910478113444266,0.01906547088519484,0.01906547088519484,0.01906547088519484,0.024511052623093225,0.02463658938428703,2033-02-01 01:00:00
0.01910478113444266,0.01906547088519484,0.01906547088519484,0.01906547088519484,0.024511052623093225,0.02463658938428703,2033-03-01 01:00:00
0.01910478113444266,0.01906547088519484,0.01906547088519484,0.01906547088519484,0.024511052623093225,0.02463658938428703,2033-04-01 01:00:00
0.01910478113444266,0.01906547088519484,0.01906547088519484,0.01906547088519484,0.024511052623093225,0.02463658938428703,2033-05-01 01:00:00
0.019702733525122,0.01967574347919718,0.01967574347919718,0.01967574347919718,0.031729416391737826,0.0318863373432301,2033-06-01 01:00:00
0.019702733525122,0.01967574347919718,0.01967574347919718,0.01967574347919718,0.031729416391737826,0.0318863373432301,2033-07-01 01:00:00
0.019702733525122,0.01967574347919718,0.01967574347919718,0.01967574347919718,0.031729416391737826,0.0318863373432301,2033-08-01 01:00:00
0.01967574347919718,0.019635258410309938,0.019635258410309938,0.019635258410309938,0.031729416391737826,0.0318863373432301,2033-09-01 01:00:00
0.01967574347919718,0.019635258410309938,0.019635258410309938,0.019635258410309938,0.031729416391737826,0.0318863373432301,2033-10-01 01:00:00
0.01967574347919718,0.019635258410309938,0.019635258410309938,0.019635258410309938,0.031729416391737826,0.0318863373432301,2033-11-01 01:00:00
0.01967574347919718,0.019635258410309938,0.019635258410309938,0.019635258410309938,0.031729416391737826,0.0318863373432301,2033-12-01 01:00:00
0.019685250064085152,0.019644745434323662,0.019644745434323662,0.019644745434323662,0.02551557751179491,0.025646259086759274,2034-01-01 01:00:00
0.019685250064085152,0.019644745434323662,0.019644745434323662,0.019644745434323662,0.02551557751179491,0.025646259086759274,2034-02-01 01:00:00
0.019685250064085152,0.019644745434323662,0.019644745434323662,0.019644745434323662,0.02551557751179491,0.025646259086759274,2034-03-01 01:00:00
0.019685250064085152,0.019644745434323662,0.019644745434323662,0.019644745434323662,0.02551557751179491,0.025646259086759274,2034-04-01 01:00:00
0.019685250064085152,0.019644745434323662,0.019644745434323662,0.019644745434323662,0.02551557751179491,0.025646259086759274,2034-05-01 01:00:00
0.020301370304045375,0.02027356020773847,0.02027356020773847,0.02027356020773847,0.03302976807224667,0.03319312004095214,2034-06-01 01:00:00
0.020301370304045375,0.02027356020773847,0.02027356020773847,0.02027356020773847,0.03302976807224667,0.03319312004095214,2034-07-01 01:00:00
0.020301370304045375,0.02027356020773847,0.02027356020773847,0.02027356020773847,0.03302976807224667,0.03319312004095214,2034-08-01 01:00:00
0.02027356020773847,0.020231845063278096,0.020231845063278096,0.020231845063278096,0.03302976807224667,0.03319312004095214,2034-09-01 01:00:00
0.02027356020773847,0.020231845063278096,0.020231845063278096,0.020231845063278096,0.03302976807224667,0.03319312004095214,2034-10-01 01:00:00
0.02027356020773847,0.020231845063278096,0.020231845063278096,0.020231845063278096,0.03302976807224667,0.03319312004095214,2034-11-01 01:00:00
0.02027356020773847,0.020231845063278096,0.020231845063278096,0.020231845063278096,0.03302976807224667,0.03319312004095214,2034-12-01 01:00:00
0.020271512541585882,0.020229801610430358,0.020229801610430358,0.020229801610430358,0.026285104647624197,0.026419727462720848,2035-01-01 01:00:00
0.020271512541585882,0.020229801610430358,0.020229801610430358,0.020229801610430358,0.026285104647624197,0.026419727462720848,2035-02-01 01:00:00
0.020271512541585882,0.020229801610430358,0.020229801610430358,0.020229801610430358,0.026285104647624197,0.026419727462720848,2035-03-01 01:00:00
0.020271512541585882,0.020229801610430358,0.020229801610430358,0.020229801610430358,0.026285104647624197,0.026419727462720848,2035-04-01 01:00:00
0.020271512541585882,0.020229801610430358,0.020229801610430358,0.020229801610430358,0.026285104647624197,0.026419727462720848,2035-05-01 01:00:00
0.020905981960608677,0.020877343629155793,0.020877343629155793,0.020877343629155793,0.03402591651568253,0.03419419503455336,2035-06-01 01:00:00
0.020905981960608677,0.020877343629155793,0.020877343629155793,0.020877343629155793,0.03402591651568253,0.03419419503455336,2035-07-01 01:00:00
0.020905981960608677,0.020877343629155793,0.020877343629155793,0.020877343629155793,0.03402591651568253,0.03419419503455336,2035-08-01 01:00:00
0.020877343629155793,0.020834386131976454,0.020834386131976454,0.020834386131976454,0.03402591651568253,0.03419419503455336,2035-09-01 01:00:00
0.020877343629155793,0.020834386131976454,0.020834386131976454,0.020834386131976454,0.03402591651568253,0.03419419503455336,2035-10-01 01:00:00
0.020877343629155793,0.020834386131976454,0.020834386131976454,0.020834386131976454,0.03402591651568253,0.03419419503455336,2035-11-01 01:00:00
0.020877343629155793,0.020834386131976454,0.020834386131976454,0.020834386131976454,0.03402591651568253,0.03419419503455336,2035-12-01 01:00:00
0.02084364564974703,0.02080075748997389,0.02080075748997389,0.02080075748997389,0.02690842320164293,0.027046238429308176,2036-01-01 01:00:00
0.02084364564974703,0.02080075748997389,0.02080075748997389,0.02080075748997389,0.02690842320164293,0.027046238429308176,2036-02-01 01:00:00
0.02084364564974703,0.02080075748997389,0.02080075748997389,0.02080075748997389,0.02690842320164293,0.027046238429308176,2036-03-01 01:00:00
0.02084364564974703,0.02080075748997389,0.02080075748997389,0.02080075748997389,0.02690842320164293,0.027046238429308176,2036-04-01 01:00:00
0.02084364564974703,0.02080075748997389,0.02080075748997389,0.02080075748997389,0.02690842320164293,0.027046238429308176,2036-05-01 01:00:00
0.02149602201873195,0.02146657541322684,0.02146657541322684,0.02146657541322684,0.03483279879239563,0.03500506782697721,2036-06-01 01:00:00
0.02149602201873195,0.02146657541322684,0.02146657541322684,0.02146657541322684,0.03483279879239563,0.03500506782697721,2036-07-01 01:00:00
0.02149602201873195,0.02146657541322684,0.02146657541322684,0.02146657541322684,0.03483279879239563,0.03500506782697721,2036-08-01 01:00:00
0.02146657541322684,0.021422405504969166,0.021422405504969166,0.021422405504969166,0.03483279879239563,0.03500506782697721,2036-09-01 01:00:00
0.02146657541322684,0.021422405504969166,0.021422405504969166,0.021422405504969166,0.03483279879239563,0.03500506782697721,2036-10-01 01:00:00
0.02146657541322684,0.021422405504969166,0.021422405504969166,0.021422405504969166,0.03483279879239563,0.03500506782697721,2036-11-01 01:00:00
0.02146657541322684,0.021422405504969166,0.021422405504969166,0.021422405504969166,0.03483279879239563,0.03500506782697721,2036-12-01 01:00:00
0.021492766095793585,0.02144854229724257,0.02144854229724257,0.02144854229724257,0.027551825957447672,0.02769293646171115,2037-01-01 01:00:00
0.021492766095793585,0.02144854229724257,0.02144854229724257,0.02144854229724257,0.027551825957447672,0.02769293646171115,2037-02-01 01:00:00
0.021492766095793585,0.02144854229724257,0.02144854229724257,0.02144854229724257,0.027551825957447672,0.02769293646171115,2037-03-01 01:00:00
0.021492766095793585,0.02144854229724257,0.02144854229724257,0.02144854229724257,0.027551825957447672,0.02769293646171115,2037-04-01 01:00:00
0.021492766095793585,0.02144854229724257,0.02144854229724257,0.02144854229724257,0.027551825957447672,0.02769293646171115,2037-05-01 01:00:00
0.022165459008570393,0.0221350953660929,0.0221350953660929,0.0221350953660929,0.0356656799525987,0.035842068082928065,2037-06-01 01:00:00
0.022165459008570393,0.0221350953660929,0.0221350953660929,0.0221350953660929,0.0356656799525987,0.035842068082928065,2037-07-01 01:00:00
0.022165459008570393,0.0221350953660929,0.0221350953660929,0.0221350953660929,0.0356656799525987,0.035842068082928065,2037-08-01 01:00:00
0.0221350953660929,0.022089549902376653,0.022089549902376653,0.022089549902376653,0.0356656799525987,0.035842068082928065,2037-09-01 01:00:00
0.0221350953660929,0.022089549902376653,0.022089549902376653,0.022089549902376653,0.0356656799525987,0.035842068082928065,2037-10-01 01:00:00
0.0221350953660929,0.022089549902376653,0.022089549902376653,0.022089549902376653,0.0356656799525987,0.035842068082928065,2037-11-01 01:00:00
0.0221350953660929,0.022089549902376653,0.022089549902376653,0.022089549902376653,0.0356656799525987,0.035842068082928065,2037-12-01 01:00:00
0.02215531703914787,0.022109729967050858,0.022109729967050858,0.022109729967050858,0.028138045402054467,0.028282158310643717,2038-01-01 01:00:00
0.02215531703914787,0.022109729967050858,0.022109729967050858,0.022109729967050858,0.028138045402054467,0.028282158310643717,2038-02-01 01:00:00
0.02215531703914787,0.022109729967050858,0.022109729967050858,0.022109729967050858,0.028138045402054467,0.028282158310643717,2038-03-01 01:00:00
0.02215531703914787,0.022109729967050858,0.022109729967050858,0.022109729967050858,0.028138045402054467,0.028282158310643717,2038-04-01 01:00:00
0.02215531703914787,0.022109729967050858,0.022109729967050858,0.022109729967050858,0.028138045402054467,0.028282158310643717,2038-05-01 01:00:00
0.022848746851119577,0.022817447197898865,0.022817447197898865,0.022817447197898865,0.03642453764593733,0.03660467878167391,2038-06-01 01:00:00
